date,vnd_per_cad,open,high,low,change_pct,year,month
2025-11-07,18727.98,18641.97,18757.36,18614.31,0.47,2025,11
2025-11-10,18758.92,18734.65,18795.04,18710.1,0.17,2025,11
2025-11-11,18770.29,18751.56,18795.09,18726.71,0.06,2025,11
2025-11-12,18817.61,18772.96,18839.81,18753.35,0.25,2025,11
2025-11-13,18777.38,18817.62,18852.66,18772.71,-0.21,2025,11
2025-11-14,18789.89,18776.72,18812.07,18752.98,0.07,2025,11
2025-11-17,18750.67,18785.87,18812.3,18741.3,-0.21,2025,11
2025-11-18,18860.49,18750.67,18884.79,18731.98,0.59,2025,11
2025-11-19,18773.0,18860.49,18867.91,18751.64,-0.46,2025,11
2025-11-20,18711.03,18773.66,18790.55,18695.12,-0.33,2025,11
2025-11-21,18688.08,18710.37,18733.72,18647.75,-0.12,2025,11
2025-11-24,18696.09,18685.44,18722.81,18658.29,0.04,2025,11
2025-11-25,18707.57,18692.12,18719.69,18661.69,0.06,2025,11
2025-11-26,18782.0,18707.57,18794.71,18695.93,0.4,2025,11
2025-11-27,18798.69,18782.01,18810.32,18765.74,0.09,2025,11
